timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
28-01-2022,2365,2372.3999,2329,2335.3999,2335.3999,2787192,0,1
27-01-2022,2345,2355.55,2312,2338.25,2338.25,385697,0,1
25-01-2022,2364.7,2388.6001,2305.05,2373.7,2373.7,439517,0,1
24-01-2022,2478.1001,2504.1001,2352.7,2377.55,2377.55,579337,0,1
21-01-2022,2450.1499,2501.95,2450.1499,2478.1001,2478.1001,320142,0,1
20-01-2022,2497,2511.25,2455,2478.8,2478.8,202569,0,1
19-01-2022,2526.3,2541.6499,2508.8,2521.3999,2521.3999,132491,0,1
18-01-2022,2553,2562.8,2515.5,2520.8501,2520.8501,194301,0,1
17-01-2022,2539.6001,2565,2538.75,2552.3,2552.3,102051,0,1
14-01-2022,2530,2566.5,2525.8,2538.7,2538.7,233864,0,1
13-01-2022,2523.7,2540.95,2508.8,2535.3501,2535.3501,272194,0,1
12-01-2022,2472.45,2524.3501,2465.3999,2520.6001,2520.6001,196309,0,1
11-01-2022,2431.1001,2474.1001,2431.1001,2454.8999,2454.8999,334250,0,1
10-01-2022,2453.95,2456.45,2416.55,2437.6499,2437.6499,166454,0,1
07-01-2022,2436,2457.6499,2411.5,2435.95,2435.95,371610,0,1
06-01-2022,2454,2454,2409,2416.6001,2416.6001,311647,0,1
05-01-2022,2460.1499,2476.3,2433,2466.05,2466.05,256771,0,1
04-01-2022,2410,2461.95,2403,2457.75,2457.75,559316,0,1
03-01-2022,2367.5,2408.95,2364.95,2404.3501,2404.3501,272926,0,1
31-12-2021,2370,2384.3,2360.05,2368.1499,2368.1499,181300,0,1
30-12-2021,2398,2405.25,2346,2356.45,2356.45,395909,0,1
29-12-2021,2391.8999,2418.3999,2382.45,2403.05,2403.05,136021,0,1
28-12-2021,2384,2405,2374.3501,2397.7,2397.7,100293,0,1
27-12-2021,2362.8999,2377.75,2348.95,2369.8,2369.8,79886,0,1
24-12-2021,2367,2391.8999,2337.6499,2372.25,2372.25,182225,0,1
23-12-2021,2372,2380,2358.95,2364.6499,2364.6499,127047,0,1
22-12-2021,2314.5,2372,2314.5,2365.95,2365.95,244736,0,1
21-12-2021,2304.6001,2345,2293,2310.1001,2310.1001,165141,0,1
20-12-2021,2315,2320.8999,2248,2277.2,2277.2,1104898,0,1
17-12-2021,2395,2408.75,2320,2341.1499,2341.1499,426622,0,1
16-12-2021,2404,2414.5,2369,2404.45,2404.45,147405,0,1
15-12-2021,2384.8501,2404.5,2361.75,2372.5,2372.5,271038,0,1
14-12-2021,2389,2406,2373.5,2380.3999,2380.3999,286591,0,1
13-12-2021,2470,2474.5,2405,2409.8,2409.8,285664,0,1
10-12-2021,2444,2466.1001,2430.5,2458.95,2458.95,127783,0,1
09-12-2021,2431.1001,2474.8999,2425.45,2455.8501,2455.8501,170477,0,1
08-12-2021,2427,2431.45,2407.1001,2417.3999,2417.3999,655272,0,1
07-12-2021,2381.7,2403.75,2373.55,2381.6001,2381.6001,243374,0,1
06-12-2021,2421,2424.55,2357.1499,2363.3,2363.3,406872,0,1
03-12-2021,2490.1499,2494.95,2400.1001,2408.1499,2408.1499,385570,0,1
02-12-2021,2466.8999,2496,2461.2,2483.8,2483.8,212570,0,1
01-12-2021,2425.5,2474.6001,2425.5,2466.8999,2466.8999,334818,0,1
30-11-2021,2466,2475.8999,2390,2406.75,2406.75,568273,0,1
29-11-2021,2412,2500,2400,2442.5,2442.5,451870,0,1
26-11-2021,2470,2477.45,2403,2412.1499,2412.1499,397321,0,1
25-11-2021,2375.5,2502.8,2358,2494.3999,2494.3999,476931,0,1
24-11-2021,2381.3999,2410.8501,2344,2350.8999,2350.8999,1856369,0,1
23-11-2021,2339,2401.5,2309.3999,2386.1499,2386.1499,457139,0,1
22-11-2021,2440,2446.25,2351,2363.3999,2363.3999,416968,0,1
18-11-2021,2459.8999,2489,2450.6001,2472.75,2472.75,242463,0,1
17-11-2021,2499.7,2500,2460.3501,2464.05,2464.05,370002,0,1
16-11-2021,2573,2576,2495,2512.1001,2512.1001,245061,0,1
15-11-2021,2600,2602.1001,2570,2578.55,2578.55,104839,0,1
12-11-2021,2560,2598.8,2557,2592.5,2592.5,283433,0,1
11-11-2021,2549.3999,2571,2535.95,2554.95,2554.95,266898,0,1
10-11-2021,2518.8999,2558,2503.8501,2549.3999,2549.3999,108322,0,1
09-11-2021,2502,2528.95,2486.7,2520.05,2520.05,282251,0,1
08-11-2021,2510.1001,2522,2457.6499,2502,2502,183715,0,1
04-11-2021,2494.8999,2505,2490.05,2498.8,2498.8,64847,0,1
03-11-2021,2504.75,2520.45,2461,2483.8501,2483.8501,249022,0,1
02-11-2021,2551.8999,2551.8999,2497,2500.8999,2500.8999,416615,0,1
01-11-2021,2531.2,2555,2494,2537.3501,2537.3501,347023,0,1
29-10-2021,2586,2595.1499,2502.55,2537.6001,2537.6001,340018,0,1
28-10-2021,2621,2637.8,2591.1001,2599.3501,2599.3501,404017,0,1
27-10-2021,2659.8,2677,2620,2632.6499,2632.6499,240760,0,1
26-10-2021,2614.45,2668.8501,2603.3501,2661.5,2661.5,387791,0,1
25-10-2021,2699,2699,2570.1001,2601.6499,2601.6499,424305,0,1
22-10-2021,2623.8,2664.7,2611.3999,2627.05,2627.05,299137,0,1
21-10-2021,2725.95,2725.95,2603,2623,2623,395833,0,1
20-10-2021,2740,2744.1001,2691.45,2699.8999,2699.8999,2747085,0,1
19-10-2021,2726,2750,2708,2731.5,2731.5,108463,0,1
18-10-2021,2684,2744.95,2660,2707,2707,161592,0,1
14-10-2021,2705,2717.7,2687.1499,2699.8501,2699.8501,152754,0,1
13-10-2021,2683,2719.5,2669,2695.8999,2695.8999,229201,0,1
12-10-2021,2641,2682.75,2641,2668.55,2668.55,129947,0,1
11-10-2021,2724.7,2724.7,2645.05,2651.1499,2651.1499,2880808,0,1
08-10-2021,2580,2683.8999,2580,2670.8501,2670.8501,328023,0,1
07-10-2021,2600,2600,2568.1001,2572.1499,2572.1499,133140,0,1
06-10-2021,2623,2623,2550.05,2560.2,2560.2,134604,0,1
05-10-2021,2565,2612,2547.3,2609.1001,2609.1001,287513,0,1
04-10-2021,2549.8999,2574.6499,2537.55,2555.8501,2555.8501,1315342,0,1
01-10-2021,2506,2539.8501,2495.8501,2522.8501,2522.8501,2866109,0,1
30-09-2021,2527.8501,2534.1001,2500.75,2517,2517,270456,0,1
29-09-2021,2562,2563.8999,2520,2527.25,2527.25,2433923,0,1
28-09-2021,2531,2565,2512.2,2548.05,2548.05,1214524,0,1
27-09-2021,2484.2,2529,2475.5,2525.2,2525.2,314356,0,1
24-09-2021,2500,2504.7,2472,2482.95,2482.95,288081,0,1
23-09-2021,2445,2496.95,2445,2489.6499,2489.6499,3174137,0,1
22-09-2021,2409,2441.25,2398.1499,2430.6001,2430.6001,272044,0,1
21-09-2021,2411,2416,2384.6499,2404.1499,2404.1499,376728,0,1
20-09-2021,2375,2418,2370,2393.8999,2393.8999,215248,0,1
17-09-2021,2445,2455.8,2378.8,2390.3999,2390.3999,231182,0,1
